player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Sebastian Prodl,AUT,30,90.0,0,0,0,0,1,0,1,0,51.0,1.0,3,0.0,0.2,0.2,0.0,0.0,0.0,31.0,39.0,79.5,5.0,16.0,1.0,0.0,0.0,522.0,279.0,20.0,23.0,87.0,9.0,13.0,69.2,2.0,3.0,66.7,0.0,0.0,3.0,0.0,0.0,38.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,7.0,0.0,8.0,26.0,21.0,4.0,2.0,51.0,0.0,0.0,0.0,60.0,45.0,0.0,0.0,0.0,0.0,19.0,0.0,0,1,1,0,0.0,0.0,0,7.0,3.0,1.0,75.0,False,Watford,West Ham,27,2017-2018,CB,None,None,None,2017,1.0,Watford_West_Ham,Watford_West_Ham_2017,West Ham,Watford,2017,27,West Ham,1.5,0.6,Watford,2.0,0.0,2018-02-10,Graham Scott,London Stadium,Sat,15:00,"56,197",291,West Ham,Watford,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2017,30.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,51.0,1.0,3.0,0.0,0.2,0.2,0.0,0.0,0.0,31.0,39.0,79.5,5.0,16.0,1.0,0.0,0.0,522.0,279.0,20.0,23.0,87.0,9.0,13.0,69.2,2.0,3.0,66.7,0.0,0.0,3.0,0.0,0.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,7.0,0.0,8.0,26.0,21.0,4.0,2.0,51.0,0.0,0.0,0.0,60.0,45.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,75.0,1.0,1.5,0.6,2.0,0.0,291.0
Adrian Mariappa,JAM,31,90.0,0,0,0,0,3,1,0,0,52.0,1.0,2,1.0,0.2,0.2,0.0,0.0,0.0,32.0,39.0,82.1,3.0,27.0,0.0,0.0,0.0,570.0,261.0,13.0,14.0,92.9,18.0,19.0,94.7,1.0,5.0,20.0,0.0,0.0,3.0,1.0,0.0,38.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,3.0,6.0,0.0,6.0,30.0,19.0,4.0,3.0,52.0,0.0,0.0,0.0,91.0,43.0,1.0,0.0,0.0,0.0,31.0,1.0,0,0,3,0,0.0,0.0,0,4.0,3.0,2.0,60.0,False,Watford,West Ham,27,2017-2018,CB,None,None,None,2017,1.0,Watford_West_Ham,Watford_West_Ham_2017,West Ham,Watford,2017,27,West Ham,1.5,0.6,Watford,2.0,0.0,2018-02-10,Graham Scott,London Stadium,Sat,15:00,"56,197",291,West Ham,Watford,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2017,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,52.0,1.0,2.0,1.0,0.2,0.2,0.0,0.0,0.0,32.0,39.0,82.1,3.0,27.0,0.0,0.0,0.0,570.0,261.0,13.0,14.0,92.9,18.0,19.0,94.7,1.0,5.0,20.0,0.0,0.0,3.0,1.0,0.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,3.0,6.0,0.0,6.0,30.0,19.0,4.0,3.0,52.0,0.0,0.0,0.0,91.0,43.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,60.0,1.0,1.5,0.6,2.0,0.0,291.0
Orestis Karnezis,GRE,32,90.0,0,0,0,0,0,0,0,0,27.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,45.8,0.0,14.0,0.0,0.0,0.0,385.0,321.0,0.0,0.0,0.0,5.0,5.0,100.0,6.0,19.0,31.6,0.0,0.0,0.0,0.0,0.0,16.0,8.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,25.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,84.0,63.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,False,Watford,West Ham,27,2017-2018,GK,None,None,None,2017,1.0,Watford_West_Ham,Watford_West_Ham_2017,West Ham,Watford,2017,27,West Ham,1.5,0.6,Watford,2.0,0.0,2018-02-10,Graham Scott,London Stadium,Sat,15:00,"56,197",291,West Ham,Watford,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2017,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,45.8,0.0,14.0,0.0,0.0,0.0,385.0,321.0,0.0,0.0,0.0,5.0,5.0,100.0,6.0,19.0,31.6,0.0,0.0,0.0,0.0,0.0,16.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,25.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,84.0,63.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,1.0,1.5,0.6,2.0,0.0,291.0
Javier Hernandez,MEX,30,74.0,0,0,0,0,3,2,0,0,24.0,0.0,1,1.0,0.6,0.6,0.0,1.0,0.0,9.0,16.0,56.3,0.0,15.0,0.0,2.0,1.0,127.0,23.0,6.0,8.0,75.0,1.0,2.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,11.0,4.0,24.0,50.0,1.0,50.0,41.0,18.0,0.0,0.0,1.0,1.0,18.0,7.0,0,1,1,1,0.0,0.0,0,1.0,0.0,1.0,0.0,True,West Ham,Watford,18,2018-2019,FW,None,None,None,2018,0.8222222222222222,Watford_West_Ham,Watford_West_Ham_2018,West Ham,Watford,2018,18,West Ham,2.0,2.3,Watford,0.0,2.0,2018-12-22,Lee Mason,London Stadium,Sat,15:00,"56,833",191,Watford,West Ham,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2018,36.48648648648649,0.0,0.0,0.0,0.0,3.6486486486486487,2.4324324324324325,0.0,0.0,29.18918918918919,0.0,1.2162162162162162,1.2162162162162162,0.7297297297297297,0.7297297297297297,0.0,1.2162162162162162,0.0,10.945945945945946,19.45945945945946,68.47297297297297,0.0,18.243243243243246,0.0,2.4324324324324325,1.2162162162162162,154.45945945945945,27.972972972972975,7.297297297297297,9.72972972972973,91.21621621621622,1.2162162162162162,2.4324324324324325,60.810810810810814,1.2162162162162162,3.6486486486486487,40.5,0.0,0.0,0.0,0.0,0.0,17.027027027027028,2.4324324324324325,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,14.594594594594595,13.378378378378379,4.864864864864865,29.18918918918919,60.810810810810814,1.2162162162162162,60.810810810810814,49.86486486486487,21.89189189189189,0.0,0.0,1.2162162162162162,1.2162162162162162,21.89189189189189,8.513513513513514,0.0,1.2162162162162162,1.2162162162162162,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,0.0,1.2162162162162162,0.0,1.0,2.4324324324324325,2.7972972972972974,0.0,2.4324324324324325,232.29729729729732
Grady Diangana,ENG,20,16.0,0,0,0,0,0,0,0,0,15.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0,62.5,0.0,6.0,1.0,1.0,0.0,73.0,8.0,4.0,4.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,8.0,1.0,15.0,0.0,1.0,100.0,46.0,13.0,0.0,1.0,1.0,2.0,8.0,4.0,0,0,1,0,0.0,0.0,0,2.0,0.0,1.0,0.0,True,West Ham,Watford,18,2018-2019,FW,None,None,None,2018,0.17777777777777778,Watford_West_Ham,Watford_West_Ham_2018,West Ham,Watford,2018,18,West Ham,2.0,2.3,Watford,0.0,2.0,2018-12-22,Lee Mason,London Stadium,Sat,15:00,"56,833",191,Watford,West Ham,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2018,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.375,5.625,0.0,5.625,0.0,0.0,0.0,5.625,0.0,28.125,45.0,351.5625,0.0,33.75,5.625,5.625,0.0,410.625,45.0,22.5,22.5,562.5,5.625,11.25,281.25,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,39.375,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,0.0,0.0,5.625,5.625,0.0,0.0,0.0,5.625,33.75,45.0,5.625,84.375,0.0,5.625,562.5,258.75,73.125,0.0,5.625,5.625,11.25,45.0,22.5,0.0,0.0,5.625,0.0,0.0,0.0,0.0,11.25,0.0,5.625,0.0,1.0,11.25,12.937499999999998,0.0,11.25,1074.375
Michail Antonio,JAM,28,90.0,0,0,0,0,4,1,1,0,59.0,2.0,1,4.0,0.8,0.8,0.2,3.0,0.0,21.0,37.0,56.8,5.0,26.0,2.0,2.0,0.0,250.0,42.0,14.0,18.0,77.8,6.0,12.0,50.0,0.0,2.0,0.0,0.1,2.0,1.0,1.0,0.0,32.0,5.0,0.0,0.0,0.0,3,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,3.0,1.0,0.0,1.0,5.0,22.0,32.0,7.0,59.0,0.0,2.0,100.0,103.0,56.0,0.0,2.0,4.0,2.0,33.0,7.0,0,4,1,1,0.0,0.0,0,4.0,1.0,3.0,25.0,True,West Ham,Watford,18,2018-2019,FW,RM,None,None,2018,1.0,Watford_West_Ham,Watford_West_Ham_2018,West Ham,Watford,2018,18,West Ham,2.0,2.3,Watford,0.0,2.0,2018-12-22,Lee Mason,London Stadium,Sat,15:00,"56,833",191,Watford,West Ham,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2018,28.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,59.0,2.0,1.0,4.0,0.8,0.8,0.2,3.0,0.0,21.0,37.0,56.8,5.0,26.0,2.0,2.0,0.0,250.0,42.0,14.0,18.0,77.8,6.0,12.0,50.0,0.0,2.0,0.0,0.1,2.0,1.0,1.0,0.0,32.0,5.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,3.0,1.0,0.0,1.0,5.0,22.0,32.0,7.0,59.0,0.0,2.0,100.0,103.0,56.0,0.0,2.0,4.0,2.0,33.0,7.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,25.0,1.0,2.0,2.3,0.0,2.0,191.0
Felipe Anderson,BRA,25,90.0,0,0,0,0,2,0,0,0,66.0,2.0,1,3.0,0.1,0.1,0.7,5.0,0.0,37.0,50.0,74.0,4.0,29.0,1.0,6.0,1.0,563.0,237.0,18.0,22.0,81.8,12.0,15.0,80.0,3.0,8.0,37.5,0.5,3.0,4.0,3.0,2.0,43.0,7.0,3.0,0.0,0.0,10,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,11.0,24.0,32.0,2.0,66.0,16.7,5.0,83.3,237.0,77.0,3.0,1.0,2.0,2.0,38.0,5.0,0,0,2,0,0.0,0.0,0,5.0,1.0,1.0,50.0,True,West Ham,Watford,18,2018-2019,LM,None,None,None,2018,1.0,Watford_West_Ham,Watford_West_Ham_2018,West Ham,Watford,2018,18,West Ham,2.0,2.3,Watford,0.0,2.0,2018-12-22,Lee Mason,London Stadium,Sat,15:00,"56,833",191,Watford,West Ham,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2018,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,66.0,2.0,1.0,3.0,0.1,0.1,0.7,5.0,0.0,37.0,50.0,74.0,4.0,29.0,1.0,6.0,1.0,563.0,237.0,18.0,22.0,81.8,12.0,15.0,80.0,3.0,8.0,37.5,0.5,3.0,4.0,3.0,2.0,43.0,7.0,3.0,0.0,0.0,10.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,11.0,24.0,32.0,2.0,66.0,16.7,5.0,83.3,237.0,77.0,3.0,1.0,2.0,2.0,38.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0,1.0,2.0,2.3,0.0,2.0,191.0
Declan Rice,ENG,19,90.0,0,0,0,0,1,1,0,0,60.0,1.0,1,1.0,0.1,0.1,0.0,1.0,0.0,40.0,51.0,78.4,2.0,31.0,0.0,0.0,0.0,707.0,120.0,16.0,19.0,84.2,16.0,19.0,84.2,5.0,9.0,55.6,0.0,1.0,2.0,0.0,0.0,51.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,15.0,40.0,6.0,2.0,60.0,0.0,0.0,0.0,100.0,27.0,1.0,0.0,2.0,1.0,40.0,1.0,0,0,0,0,0.0,0.0,0,11.0,4.0,1.0,80.0,True,West Ham,Watford,18,2018-2019,CM,None,None,None,2018,1.0,Watford_West_Ham,Watford_West_Ham_2018,West Ham,Watford,2018,18,West Ham,2.0,2.3,Watford,0.0,2.0,2018-12-22,Lee Mason,London Stadium,Sat,15:00,"56,833",191,Watford,West Ham,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2018,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,1.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,40.0,51.0,78.4,2.0,31.0,0.0,0.0,0.0,707.0,120.0,16.0,19.0,84.2,16.0,19.0,84.2,5.0,9.0,55.6,0.0,1.0,2.0,0.0,0.0,51.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,15.0,40.0,6.0,2.0,60.0,0.0,0.0,0.0,100.0,27.0,1.0,0.0,2.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1.0,80.0,1.0,2.0,2.3,0.0,2.0,191.0
Mark Noble,ENG,31,55.0,0,0,0,0,1,0,0,0,39.0,0.0,0,1.0,0.0,0.0,0.0,2.0,0.0,28.0,34.0,82.4,7.0,20.0,1.0,1.0,1.0,642.0,154.0,5.0,5.0,100.0,13.0,15.0,86.7,6.0,10.0,60.0,0.2,0.0,4.0,0.0,0.0,30.0,4.0,3.0,1.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,25.0,7.0,0.0,39.0,100.0,0.0,0.0,113.0,44.0,1.0,0.0,0.0,2.0,28.0,1.0,0,0,2,0,0.0,0.0,0,6.0,0.0,1.0,0.0,True,West Ham,Watford,18,2018-2019,CM,None,None,None,2018,0.6111111111111112,Watford_West_Ham,Watford_West_Ham_2018,West Ham,Watford,2018,18,West Ham,2.0,2.3,Watford,0.0,2.0,2018-12-22,Lee Mason,London Stadium,Sat,15:00,"56,833",191,Watford,West Ham,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2018,50.72727272727273,0.0,0.0,0.0,0.0,1.6363636363636362,0.0,0.0,0.0,63.81818181818181,0.0,0.0,1.6363636363636362,0.0,0.0,0.0,3.2727272727272725,0.0,45.81818181818181,55.63636363636363,134.83636363636364,11.454545454545453,32.72727272727273,1.6363636363636362,1.6363636363636362,1.6363636363636362,1050.5454545454545,251.99999999999997,8.181818181818182,8.181818181818182,163.63636363636363,21.27272727272727,24.545454545454543,141.87272727272727,9.818181818181817,16.363636363636363,98.18181818181817,0.32727272727272727,0.0,6.545454545454545,0.0,0.0,49.090909090909086,6.545454545454545,4.909090909090908,1.6363636363636362,3.2727272727272725,1.6363636363636362,1.6363636363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636363636362,0.0,1.6363636363636362,1.6363636363636362,0.0,0.0,1.6363636363636362,0.0,1.6363636363636362,11.454545454545453,40.90909090909091,11.454545454545453,0.0,63.81818181818181,163.63636363636363,0.0,0.0,184.9090909090909,72.0,1.6363636363636362,0.0,0.0,3.2727272727272725,45.81818181818181,1.6363636363636362,0.0,0.0,3.2727272727272725,0.0,0.0,0.0,0.0,9.818181818181817,0.0,1.6363636363636362,0.0,1.0,3.2727272727272725,3.7636363636363632,0.0,3.2727272727272725,312.5454545454545
Andy Carroll,ENG,29,35.0,0,0,0,0,3,1,0,0,19.0,1.0,0,1.0,0.4,0.4,0.0,2.0,0.0,8.0,9.0,88.9,1.0,5.0,0.0,0.0,0.0,128.0,20.0,3.0,3.0,100.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,9.0,8.0,6.0,19.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,1.0,0.0,9.0,0.0,0,0,0,1,0.0,0.0,0,0.0,3.0,7.0,30.0,True,West Ham,Watford,18,2018-2019,FW,None,None,None,2018,0.3888888888888889,Watford_West_Ham,Watford_West_Ham_2018,West Ham,Watford,2018,18,West Ham,2.0,2.3,Watford,0.0,2.0,2018-12-22,Lee Mason,London Stadium,Sat,15:00,"56,833",191,Watford,West Ham,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2018,74.57142857142857,0.0,0.0,0.0,0.0,7.714285714285714,2.571428571428571,0.0,0.0,48.857142857142854,2.571428571428571,0.0,2.571428571428571,1.0285714285714287,1.0285714285714287,0.0,5.142857142857142,0.0,20.57142857142857,23.142857142857142,228.60000000000002,2.571428571428571,12.857142857142858,0.0,0.0,0.0,329.1428571428571,51.42857142857143,7.714285714285714,7.714285714285714,257.1428571428571,7.714285714285714,7.714285714285714,257.1428571428571,2.571428571428571,2.571428571428571,257.1428571428571,0.0,0.0,5.142857142857142,0.0,0.0,20.57142857142857,2.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.571428571428571,0.0,0.0,0.0,0.0,0.0,2.571428571428571,0.0,2.571428571428571,2.571428571428571,0.0,5.142857142857142,5.142857142857142,23.142857142857142,20.57142857142857,15.428571428571429,48.857142857142854,0.0,0.0,0.0,38.57142857142857,5.142857142857142,0.0,0.0,2.571428571428571,0.0,23.142857142857142,0.0,0.0,0.0,0.0,2.571428571428571,0.0,0.0,0.0,0.0,7.714285714285714,18.0,77.14285714285714,1.0,5.142857142857142,5.914285714285714,0.0,5.142857142857142,491.1428571428571
Robert Snodgrass,SCO,31,90.0,0,0,0,0,3,1,0,0,59.0,1.0,0,1.0,0.2,0.2,0.3,10.0,0.0,34.0,46.0,73.9,6.0,34.0,8.0,2.0,2.0,549.0,195.0,12.0,14.0,85.7,13.0,17.0,76.5,4.0,9.0,44.4,0.2,4.0,4.0,2.0,1.0,38.0,8.0,1.0,0.0,0.0,8,0.0,7.0,6.0,1.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,26.0,29.0,4.0,59.0,100.0,0.0,0.0,206.0,137.0,3.0,1.0,5.0,3.0,36.0,7.0,0,2,2,0,0.0,0.0,0,4.0,2.0,0.0,100.0,True,West Ham,Watford,18,2018-2019,RM,CM,None,None,2018,1.0,Watford_West_Ham,Watford_West_Ham_2018,West Ham,Watford,2018,18,West Ham,2.0,2.3,Watford,0.0,2.0,2018-12-22,Lee Mason,London Stadium,Sat,15:00,"56,833",191,Watford,West Ham,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2018,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,59.0,1.0,0.0,1.0,0.2,0.2,0.3,10.0,0.0,34.0,46.0,73.9,6.0,34.0,8.0,2.0,2.0,549.0,195.0,12.0,14.0,85.7,13.0,17.0,76.5,4.0,9.0,44.4,0.2,4.0,4.0,2.0,1.0,38.0,8.0,1.0,0.0,0.0,8.0,0.0,7.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,26.0,29.0,4.0,59.0,100.0,0.0,0.0,206.0,137.0,3.0,1.0,5.0,3.0,36.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,1.0,2.0,2.3,0.0,2.0,191.0
Arthur Masuaku,COD,25,90.0,0,0,0,0,1,1,0,0,80.0,2.0,6,4.0,0.0,0.0,0.0,1.0,0.0,43.0,59.0,72.9,4.0,26.0,3.0,4.0,4.0,637.0,222.0,23.0,26.0,88.5,15.0,18.0,83.3,3.0,9.0,33.3,0.0,1.0,4.0,0.0,0.0,45.0,12.0,0.0,0.0,0.0,2,12.0,0.0,0.0,0.0,0.0,2.0,2.0,1,2.0,0.0,0.0,1.0,5.0,20.0,4.0,0.0,4.0,8.0,4.0,0.0,7.0,33.0,32.0,15.0,1.0,80.0,100.0,0.0,0.0,209.0,110.0,3.0,1.0,0.0,3.0,36.0,0.0,0,0,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,West Ham,Watford,18,2018-2019,LB,None,None,None,2018,1.0,Watford_West_Ham,Watford_West_Ham_2018,West Ham,Watford,2018,18,West Ham,2.0,2.3,Watford,0.0,2.0,2018-12-22,Lee Mason,London Stadium,Sat,15:00,"56,833",191,Watford,West Ham,West Ham,Watford,Watford_West_Ham,Watford_West Ham_2018,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,80.0,2.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,43.0,59.0,72.9,4.0,26.0,3.0,4.0,4.0,637.0,222.0,23.0,26.0,88.5,15.0,18.0,83.3,3.0,9.0,33.3,0.0,1.0,4.0,0.0,0.0,45.0,12.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,5.0,20.0,4.0,0.0,4.0,8.0,4.0,0.0,7.0,33.0,32.0,15.0,1.0,80.0,100.0,0.0,0.0,209.0,110.0,3.0,1.0,0.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,2.0,2.3,0.0,2.0,191.0
